Fascia,Cognome e Nome,Genere,Facoltà,GSD 2024,SSD 2024,SSD 2015,SC 2015,Struttura di afferenza
Associato confermato,PINTO Eugenio,M,,13/ECON-06,ECON-06/A,SECS-P/07,13/B1,Accounting and Corporate Finance
Ordinario,PIPPIDI Tatiana Alina,F,,14/GSPS-02,GSPS-02/A,SPS/04,14/A2,SCIENZE POLITICHE
Associato,PIROLO Luca,M,,13/ECON-07,ECON-07/A,SECS-P/08,13/B2,BUSINESS AND MANAGEMENT
Ordinario,POLICE Aristide,M,,12/GIUR-06,GIUR-06/A,IUS/10,12/D1,GIURISPRUDENZA
Associato,POLO Andrea,M,,13/ECON-09,ECON-09/B,SECS-P/11,13/B4,Accounting and Corporate Finance
Associato confermato,PONTI Giovanni,M,,13/ECON-01,ECON-01/A,SECS-P/01,13/A1,Economics and Financial Markets
Associato,POZHARLIEV Rumen Ivaylov,M,,13/ECON-07,ECON-07/A,SECS-P/08,13/B2,BUSINESS AND MANAGEMENT
Ordinario,POZZI Cesare,M,,13/ECON-04,ECON-04/A,SECS-P/06,13/A4,BUSINESS AND MANAGEMENT
Ordinario,PRENCIPE Andrea,M,,13/ECON-08,ECON-08/A,SECS-P/10,13/B3,BUSINESS AND MANAGEMENT
Ordinario,PUNZI Antonio,M,,12/GIUR-17,GIUR-17/A,IUS/20,12/H3,GIURISPRUDENZA
Ordinario,PUSTORINO Pietro,M,,12/GIUR-09,GIUR-09/A,IUS/13,12/E1,GIURISPRUDENZA
Ordinario,QUAGLIARIELLO Gaetano,M,,11/HIST-03,HIST-03/A,M-STO/04,11/A3,SCIENZE POLITICHE
Ordinario,REICHLIN Pietro,M,,13/ECON-01,ECON-01/A,SECS-P/01,13/A1,Economics and Financial Markets
Ordinario,ROMANI Simona,F,,13/ECON-07,ECON-07/A,SECS-P/08,13/B2,BUSINESS AND MANAGEMENT
Associato,SABIA Rossella,F,,12/GIUR-14,GIUR-14/A,IUS/17,12/G1,GIURISPRUDENZA
Ordinario,SALVINI Livia,F,,12/GIUR-08,GIUR-08/A,IUS/12,12/D2,GIURISPRUDENZA
Ordinario,SANDULLI Aldo,M,,12/GIUR-06,GIUR-06/A,IUS/10,12/D1,GIURISPRUDENZA
Ordinario,SANTUCCI DE MAGISTRIS Paolo,M,,13/ECON-05,ECON-05/A,SECS-P/05,13/A5,Economics and Financial Markets
Ordinario,SAVONA Maria,F,,13/ECON-04,ECON-04/A,SECS-P/06,13/A4,Economics and Financial Markets
Ordinario,SCARSINI Marco,M,,01/MATH-03,MATH-03/B,MAT/06,01/A3,Economics and Financial Markets
Ordinario,SCHIVARDI Fabiano,M,,13/ECON-01,ECON-01/A,SECS-P/01,13/A1,Economics and Financial Markets
Ordinario,SCHUETZE Robert,M,,12/GIUR-11,GIUR-11/B,IUS/21,12/E2,GIURISPRUDENZA
Ricercatore a t.d. - t.pieno (L. 79/2022),SELVA Donatella,F,,14/GSPS-06,GSPS-06/A,SPS/08,14/C2,SCIENZE POLITICHE
Associato,SILLARI Giacomo,M,,11/PHIL-02,PHIL-02/A,M-FIL/02,11/C2,SCIENZE POLITICHE
Associato,SIMONCINI Marta,F,,12/GIUR-06,GIUR-06/A,IUS/10,12/D1,SCIENZE POLITICHE
Associato confermato,SINAIMERI Blerina,F,,09/IINF-05,IINF-05/A,ING-INF/05,09/H1,"AI, DATA AND DECISION SCIENCES"
Ordinario,SOZIO Mauro,M,,09/IINF-05,IINF-05/A,ING-INF/05,09/H1,"AI, DATA AND DECISION SCIENCES"
Ordinario,SPAGNOLETTI Paolo,M,,13/ECON-08,ECON-08/A,SECS-P/10,13/B3,BUSINESS AND MANAGEMENT
Associato,STILO Giovanni,M,,09/IINF-05,IINF-05/A,ING-INF/05,09/H1,IMPRESA E MANAGEMENT
Ordinario,STOECKL Kristina,F,,14/GSPS-05,GSPS-05/A,SPS/07,14/C1,SCIENZE POLITICHE
Ordinario,TARANTINO Emanuele,M,,13/ECON-01,ECON-01/A,SECS-P/01,13/A1,Economics and Financial Markets
Ordinario,TESTA Maria Rita,F,,13/STAT-03,STAT-03/A,SECS-S/04,13/D3,SCIENZE POLITICHE
Ordinario,THATCHER Mark,M,,14/GSPS-02,GSPS-02/A,SPS/04,14/A2,SCIENZE POLITICHE
Ordinario,TOMBARI Umberto,M,,12/GIUR-02,GIUR-02/A,IUS/04,12/B1,GIURISPRUDENZA
Associato,VALLANTI Giovanna,F,,13/ECON-01,ECON-01/A,SECS-P/01,13/A1,Economics and Financial Markets
Associato,VENEL Xavier Mathieu Raymond,M,,13/STAT-04,STAT-04/A,SECS-S/06,13/D4,"AI, DATA AND DECISION SCIENCES"
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),VENTURA Livia,F,,12/GIUR-11,GIUR-11/A,IUS/02,12/E2,GIURISPRUDENZA
Ordinario,VINUALES Jorge Enrique,M,,12/GIUR-09,GIUR-09/A,IUS/13,12/E1,GIURISPRUDENZA
Ricercatore a t.d. - t.pieno (L. 79/2022),VISCONTI Francesco,M,,14/GSPS-02,GSPS-02/A,SPS/04,14/A2,SCIENZE POLITICHE
Ricercatore a t.d. - t.pieno (L. 79/2022),ZACCARIA Luana,F,,13/ECON-09,ECON-09/A,SECS-P/09,13/B4,ACCOUNTING AND CORPORATE FINANCE
Ordinario,ZATTONI Alessandro,M,,13/ECON-07,ECON-07/A,SECS-P/08,13/B2,BUSINESS AND MANAGEMENT
Ricercatore a t.d. - t.pieno (L. 79/2022),ZUMBO Antonio Dimitri,M,,12/GIUR-04,GIUR-04/A,IUS/07,12/B2,GIURISPRUDENZA
